"Authors","Author full names","Author(s) ID","Title","Year","Source title","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Editors","Publisher","PubMed ID","Document Type","Open Access","Source","EID"
"Timón-Reina S.; Rincón M.; Martínez-Tomás R.; Kirsebom B.-E.; Fladby T.","Timón-Reina, Santiago (55888760400); Rincón, Mariano (57208825323); Martínez-Tomás, Rafael (55887969100); Kirsebom, Bjørn-Eivind (57195544084); Fladby, Tormod (57211101142)","55888760400; 57208825323; 55887969100; 57195544084; 57211101142","A Knowledge Graph Framework for Dementia Research Data","2023","Applied Sciences (Switzerland)","0","10.3390/app131810497","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173013109&doi=10.3390%2fapp131810497&partnerID=40&md5=ad0199aa2abaa30c8dfde613a75c6130","Featured Application: Applying knowledge graphs, graph analytics, and graph machine learning for integrating multi-modal dementia research data. Dementia disease research encompasses diverse data modalities, including advanced imaging, deep phenotyping, and multi-omics analysis. However, integrating these disparate data sources has historically posed a significant challenge, obstructing the unification and comprehensive analysis of collected information. In recent years, knowledge graphs have emerged as a powerful tool to address such integration issues by enabling the consolidation of heterogeneous data sources into a structured, interconnected network of knowledge. In this context, we introduce DemKG, an open-source framework designed to facilitate the construction of a knowledge graph integrating dementia research data, comprising three core components: a KG-builder that integrates diverse domain ontologies and data annotations, an extensions ontology providing necessary terms tailored for dementia research, and a versatile transformation module for incorporating study data. In contrast with other current solutions, our framework provides a stable foundation by leveraging established ontologies and community standards and simplifies study data integration while delivering solid ontology design patterns, broadening its usability. Furthermore, the modular approach of its components enhances flexibility and scalability. We showcase how DemKG might aid and improve multi-modal data investigations through a series of proof-of-concept scenarios focused on relevant Alzheimer’s disease biomarkers. © 2023 by the authors.","data modeling; dementia; graph databases; knowledge graphs; omics; ontologies","","","Multidisciplinary Digital Publishing Institute (MDPI)","","Article","All Open Access; Gold Open Access","Scopus","2-s2.0-85173013109"
"Lin Y.; Wang L.; Ge W.; Hui Y.; Zhou Z.; Hu L.; Pan H.; Huang Y.; Shen B.","Lin, Yuxin (56152839700); Wang, Liangliang (55314260000); Ge, Wenqing (57212347464); Hui, Yu (56399005200); Zhou, Zheng (57194756113); Hu, Linkun (55635916500); Pan, Hao (55007351300); Huang, Yuhua (57157820500); Shen, Bairong (7401580760)","56152839700; 55314260000; 57212347464; 56399005200; 57194756113; 55635916500; 55007351300; 57157820500; 7401580760","Multi-omics network characterization reveals novel microRNA biomarkers and mechanisms for diagnosis and subtyping of kidney transplant rejection","2021","Journal of Translational Medicine","9","10.1186/s12967-021-03025-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112434933&doi=10.1186%2fs12967-021-03025-8&partnerID=40&md5=e360e24aca086eaf1b465ae598e2295c","Background: Kidney transplantation is an optimal method for treatment of end-stage kidney failure. However, kidney transplant rejection (KTR) is commonly observed to have negative effects on allograft function. MicroRNAs (miRNAs) are small non-coding RNAs with regulatory role in KTR genesis, the identification of miRNA biomarkers for accurate diagnosis and subtyping of KTR is therefore of clinical significance for active intervention and personalized therapy. Methods: In this study, an integrative bioinformatics model was developed based on multi-omics network characterization for miRNA biomarker discovery in KTR. Compared with existed methods, the topological importance of miRNA targets was prioritized based on cross-level miRNA-mRNA and protein–protein interaction network analyses. The biomarker potential of identified miRNAs was computationally validated and explored by receiver-operating characteristic (ROC) evaluation and integrated “miRNA-gene-pathway” pathogenic survey. Results: Three miRNAs, i.e., miR-145-5p, miR-155-5p, and miR-23b-3p, were screened as putative biomarkers for KTR monitoring. Among them, miR-155-5p was a previously reported signature in KTR, whereas the remaining two were novel candidates both for KTR diagnosis and subtyping. The ROC analysis convinced the power of identified miRNAs as single and combined biomarkers for KTR prediction in kidney tissue and blood samples. Functional analyses, including the latent crosstalk among HLA-related genes, immune signaling pathways and identified miRNAs, provided new insights of these miRNAs in KTR pathogenesis. Conclusions: A network-based bioinformatics approach was proposed and applied to identify candidate miRNA biomarkers for KTR study. Biological and clinical validations are further needed for translational applications of the findings. © 2021, The Author(s).","Allograft rejection; Kidney transplantation; miRNA biomarkers; Multi-omics network modeling; Systems biology","Biomarkers; Biomarkers, Tumor; Computational Biology; Gene Expression Profiling; Humans; Kidney Transplantation; MicroRNAs; ROC Curve; biological marker; microRNA; microRNA 145 5p; microRNA 155 5p; microRNA 23b 3p; unclassified drug; biological marker; microRNA; MIRN145 microRNA, human; tumor marker; Article; blood sampling; clinical feature; down regulation; gene control; gene expression; gene function; gene identification; human; immune signaling; kidney graft rejection; kidney tissue; kidney transplantation; molecular interaction; multiomics; pathogenesis; protein protein interaction; upregulation; biology; gene expression profiling; genetics; kidney transplantation; receiver operating characteristic","","BioMed Central Ltd","34389032","Article","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85112434933"
"","","","8th International Conference on Machine Learning, Optimization, and Data Science, LOD 2022, held in conjunction with the 2nd Advanced Course and Symposium on Artificial Intelligence and Neuroscience, ACAIN 2022","2023","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151088082&partnerID=40&md5=7f44c5a8343a351f3cc813dccc290a64","The proceedings contain 85 papers. The special focus in this conference is on Machine Learning, Optimization, and Data Science. The topics include: A Generative Adversarial Network Based Approach to Malware Generation Based on Behavioural Graphs; brain Structural Saliency over the Ages; Revisiting Neurological Aspects of Relevance: An EEG Study; BioLCNet: Reward-Modulated Locally Connected Spiking Neural Networks; multi-omic Data Integration and Feature Selection for Survival-Based Patient Stratification via Supervised Concrete Autoencoders; smart Pruning of Deep Neural Networks Using Curve Fitting and Evolution of Weights; biologically Inspired Unified Artificial Immune System for Industrial Equipment Diagnostic; a Nonparametric Pooling Operator Capable of Texture Extraction; strategic Workforce Planning with Deep Reinforcement Learning; preface; pooling Graph Convolutional Networks for Structural Performance Prediction; enhanced Association Rules and Python; generating Vascular Networks: A Reinforcement Learning Approach; expressive and Intuitive Models for Automated Context Representation Learning in Credit-Card Fraud Detection; digital Twins: Modelling Languages Comparison; algorithms that Get Old: The Case of Generative Deep Neural Networks; a Two-Country Study of Default Risk Prediction Using Bayesian Machine-Learning; enforcing Hard State-Dependent Action Bounds on Deep Reinforcement Learning Policies; a Bee Colony Optimization Approach for the Electric Vehicle Routing Problem with Drones; best Practices in Flux Sampling of Constrained-Based Models; EFI: A Toolbox for Feature Importance Fusion and Interpretation in Python; a Game Theoretic Flavoured Decision Tree for Classification; hierarchical Decentralized Deep Reinforcement Learning Architecture for a Simulated Four-Legged Agent; Robust PCA for Anomaly Detection and Data Imputation in Seasonal Time Series; monte Carlo Optimization of Liver Machine Perfusion Temperature Policies; A Comparison of SVM Against Pre-trained Language Models (PLMs) for Text Classification Tasks; normalization in Motif Discovery; tree-Based Credit Card Fraud Detection Using Isolation Forest, Spectral Residual, and Knowledge Graph.","","","Nicosia G.; Giuffrida G.; Ojha V.; La Malfa E.; La Malfa G.; Pardalos P.; Di Fatta G.; Umeton R.","Springer Science and Business Media Deutschland GmbH","","Conference review","","Scopus","2-s2.0-85151088082"
"Selevsek N.; Caiment F.; Nudischer R.; Gmuender H.; Agarkova I.; Atkinson F.L.; Bachmann I.; Baier V.; Barel G.; Bauer C.; Boerno S.; Bosc N.; Clayton O.; Cordes H.; Deeb S.; Gotta S.; Guye P.; Hersey A.; Hunter F.M.I.; Kunz L.; Lewalle A.; Lienhard M.; Merken J.; Minguet J.; Oliveira B.; Pluess C.; Sarkans U.; Schrooders Y.; Schuchhardt J.; Smit I.; Thiel C.; Timmermann B.; Verheijen M.; Wittenberger T.; Wolski W.; Zerck A.; Heymans S.; Kuepfer L.; Roth A.; Schlapbach R.; Niederer S.; Herwig R.; Kleinjans J.","Selevsek, Nathalie (24460744200); Caiment, Florian (8365516000); Nudischer, Ramona (57202238909); Gmuender, Hans (6508369122); Agarkova, Irina (57209574780); Atkinson, Francis L. (53864691900); Bachmann, Ivo (56925067200); Baier, Vanessa (57191752662); Barel, Gal (57217978507); Bauer, Chris (57213241871); Boerno, Stefan (36145765300); Bosc, Nicolas (57204323387); Clayton, Olivia (56866137900); Cordes, Henrik (56054847500); Deeb, Sally (57220394834); Gotta, Stefano (57207816708); Guye, Patrick (6506825822); Hersey, Anne (6602105185); Hunter, Fiona M. I. (14041548200); Kunz, Laura (36499658800); Lewalle, Alex (23035714400); Lienhard, Matthias (55976496900); Merken, Jort (56355407400); Minguet, Jasmine (57200337219); Oliveira, Bernardo (57219398780); Pluess, Carla (57219405177); Sarkans, Ugis (6602348753); Schrooders, Yannick (57200319381); Schuchhardt, Johannes (6602599425); Smit, Ines (57193493010); Thiel, Christoph (56054663000); Timmermann, Bernd (15825796600); Verheijen, Marcha (56613032000); Wittenberger, Timo (7801660099); Wolski, Witold (12785814500); Zerck, Alexandra (24073909800); Heymans, Stephane (6603326423); Kuepfer, Lars (56095324700); Roth, Adrian (7403051205); Schlapbach, Ralph (6602908115); Niederer, Steven (6507804465); Herwig, Ralf (56219586800); Kleinjans, Jos (26643554200)","24460744200; 8365516000; 57202238909; 6508369122; 57209574780; 53864691900; 56925067200; 57191752662; 57217978507; 57213241871; 36145765300; 57204323387; 56866137900; 56054847500; 57220394834; 57207816708; 6506825822; 6602105185; 14041548200; 36499658800; 23035714400; 55976496900; 56355407400; 57200337219; 57219398780; 57219405177; 6602348753; 57200319381; 6602599425; 57193493010; 56054663000; 15825796600; 56613032000; 7801660099; 12785814500; 24073909800; 6603326423; 56095324700; 7403051205; 6602908115; 6507804465; 56219586800; 26643554200","Network integration and modelling of dynamic drug responses at multi-omics levels","2020","Communications Biology","26","10.1038/s42003-020-01302-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092543561&doi=10.1038%2fs42003-020-01302-8&partnerID=40&md5=a083855b79997bb27cbb2a78b701281c","Uncovering cellular responses from heterogeneous genomic data is crucial for molecular medicine in particular for drug safety. This can be realized by integrating the molecular activities in networks of interacting proteins. As proof-of-concept we challenge network modeling with time-resolved proteome, transcriptome and methylome measurements in iPSC-derived human 3D cardiac microtissues to elucidate adverse mechanisms of anthracycline cardiotoxicity measured with four different drugs (doxorubicin, epirubicin, idarubicin and daunorubicin). Dynamic molecular analysis at in vivo drug exposure levels reveal a network of 175 disease-associated proteins and identify common modules of anthracycline cardiotoxicity in vitro, related to mitochondrial and sarcomere function as well as remodeling of extracellular matrix. These in vitro-identified modules are transferable and are evaluated with biopsies of cardiomyopathy patients. This to our knowledge most comprehensive study on anthracycline cardiotoxicity demonstrates a reproducible workflow for molecular medicine and serves as a template for detecting adverse drug responses from complex omics data. © 2020, The Author(s).","","","","Nature Research","33060801","Article","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85092543561"
"Thapa I.; Ali H.","Thapa, Ishwor (23398569100); Ali, Hesham (57211770938)","23398569100; 57211770938","A New Graph Database System for Multi-omics Data Integration and Mining Complex Biological Information","2020","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","3","10.1007/978-3-030-46165-2_14","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090016525&doi=10.1007%2f978-3-030-46165-2_14&partnerID=40&md5=a4e7bfbec6ee3825bf207a9ac141973d","Due to the advancement in high throughput technologies and robust experimental designs, many recent studies attempt to incorporate heterogeneous data obtained from multiple technologies to improve our understanding of the molecular dynamics associated with biological processes. Currently available technologies produce wide variety of large amount of data spanning from genomics, transcriptomics, proteomics, and epigenetics. Due to the fact that such multi-omics data are very diverse and come from different biological levels, it has been a major research challenge to develop a model to properly integrate all available and relevant data to advance biomedical research. It has been argued by many researchers that the integration of multi-omics data to extract relevant biological information is currently one of the major biomedical informatics challenges. This paper proposes a new graph database model to efficiently store and mine multi-omics data. We show a working model of this graph database with transcriptomics, genomics, epigenetics and clinical data for three cancer types from the Cancer Genome Atlas. Moreover, we highlight the usefulness of graph database mining to extract relevant biological interpretations and also to find novel relationships between different data levels. © 2020, Springer Nature Switzerland AG.","Data integration; Graph database; Information mining; Multi-omics data","Data mining; Diseases; Graph Databases; Medical computing; Molecular dynamics; Proteomics; Biological information; Biological interpretation; Biomedical informatics; Biomedical research; High throughput technology; Multiple technology; Research challenges; Robust experimental designs; Data integration","Mandoiu I.; Rajasekaran S.; Murali T.M.; Narasimhan G.; Skums P.; Zelikovsky A.","Springer","","Conference paper","","Scopus","2-s2.0-85090016525"
"","","","13th International Conference on Data Integration in the Life Sciences, DILS 2018","2019","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059702743&partnerID=40&md5=ffe611eb28adce843537ab936f3ad917","The proceedings contain 20 papers. The special focus in this conference is on Data Integration in the Life Sciences. The topics include: Using machine learning to distinguish infected from non-infected subjects at an early stage based on viral inoculation; automated coding of medical diagnostics from free-text: The role of parameters optimization and imbalanced classes; a learning-based approach to combine medical annotation results: (Short paper); knowledge graph completion to predict polypharmacy side effects; lung cancer concept annotation from Spanish clinical narratives; linked data based multi-omics integration and visualization for cancer decision networks; the hannover medical school enterprise clinical research data warehouse: 5 years of experience; user-driven development of a novel molecular tumor board support tool; using semantic programming for developing a web content management system for semantic phenotype data; combining semantic and lexical measures to evaluate medical terms similarity; converting alzheimer’s disease map into a heavyweight ontology: A formal network to integrate data; construction and visualization of dynamic biological networks: Benchmarking the Neo4J graph database; a knowledge-driven pipeline for transforming big data into actionable knowledge; leaving no stone unturned: Using machine learning based approaches for information extraction from full texts of a research data warehouse; towards research infrastructures that curate scientific information: A use case in life sciences; interactive visualization for large-scale multi-factorial research designs; FedSDM: Semantic Data manager for federations of RDF datasets; poster paper data integration for supporting biomedical knowledge graph creation at large-scale.","","","Vidal M.-E.; Auer S.","Springer Verlag","","Conference review","","Scopus","2-s2.0-85059702743"
"Wiesinger M.; Haiduk M.; Behr M.; de Abreu Madeira H.L.; Glöckler G.; Perco P.; Lukas A.","Wiesinger, Martin (24559650900); Haiduk, Martin (41661380900); Behr, Marco (41660914300); de Abreu Madeira, Henrique Lopes (39761226400); Glöckler, Gernot (41661162400); Perco, Paul (6508063067); Lukas, Arno (7005479892)","24559650900; 41661380900; 41660914300; 39761226400; 41661162400; 6508063067; 7005479892","Data and Knowledge Management in Cross-Omics Research Projects","2011","Methods in Molecular Biology","3","10.1007/978-1-61779-027-0_4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79958259620&doi=10.1007%2f978-1-61779-027-0_4&partnerID=40&md5=a59649f6b7841ba4ebfabbb698d34d20","Cross-Omics studies aimed at characterizing a specific phenotype on multiple levels are entering the ­scientific literature, and merging e.g. transcriptomics and proteomics data clearly promises to improve Omics data interpretation. Also for Systems Biology the integration of multi-level Omics profiles (also across species) is considered as central element. Due to the complexity of each specific Omics technique, specialization of experimental and bioinformatics research groups have become necessary, in turn demanding collaborative efforts for effectively implementing cross-Omics. This setting imposes specific emphasis on data sharing platforms for Omics data integration and cross-Omics data analysis and interpretation. Here we describe a software concept and methodology fostering Omics data sharing in a distributed team setting which next to the data management component also provides hypothesis generation via inference, semantic search, and community functions. Investigators are supported in data workflow management and interpretation, supporting the transition from a collection of heterogeneous Omics profiles into an integrated body of knowledge. © 2011, Springer Science+Business Media, LLC.","Biomedical knowledge management; Context; Cross-Omics; Inference; Scientific data management; Systems biology","Computational Biology; Cooperative Behavior; Information Management; Knowledge Management; Research; Software; data analysis; data integration; knowledge management; software; systems biology; workflow; article; biology; computer program; cooperation; information system; methodology; research","","Humana Press Inc.","21370080","Book chapter","","Scopus","2-s2.0-79958259620"
"Springer J.; Chen J.Y.","Springer, John (24741234900); Chen, Jake Y. (55156580200)","24741234900; 55156580200","Toward ontology-driven omics data integration in current database management systems","2009","NBiS 2009 - 12th International Conference on Network-Based Information Systems","2","10.1109/NBiS.2009.80","https://www.scopus.com/inward/record.uri?eid=2-s2.0-74549151115&doi=10.1109%2fNBiS.2009.80&partnerID=40&md5=4a450cced36ba836e7b5bf5e2ee6ba95","To fully realize the benefit of ontology-driven ""Omics"" data integration, it is essential that database management systems (DBMSs) provide persistent storage and efficient concurrent access in a manner that leverages the emerging Semantic Web technologies. In this paper, we explore the current capabilities of existing DBMSs, such as Oracle's database server, to meet the needs generated by the Semantic Web technologies. Our primary consideration is the new features provided by existing DBMSs to incorporate RDF, OWL, and SPARQL. We present a framework for this evaluation and lay the groundwork for subsequent benchmarking of the semantic-enabled DBMSs. © 2009 IEEE.","","Data handling; Information systems; Management; Management information systems; Ontology; Semantic Web; Semantics; Concurrent access; Current capability; Data integration; Data-base management systems; Data-base servers; Persistent storage; Semantic Web technology; Database systems","","","","Conference paper","","Scopus","2-s2.0-74549151115"
"Chakravorty D.; Banerjee K.; Saha S.","Chakravorty, Debangana (57188862038); Banerjee, Krishnendu (57208667367); Saha, Sudipto (55554063800)","57188862038; 57208667367; 55554063800","Integrative omics for interactomes","2018","Synthetic Biology: Omics Tools and Their Applications","4","10.1007/978-981-10-8693-9_3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079539544&doi=10.1007%2f978-981-10-8693-9_3&partnerID=40&md5=785415ceed4a96b420c9e4e8fbc551ed","Single-layer omics provide limited insight, whereas integrated multiomics layers allow understanding of their combined influence on the complex biological process. The integrative omics approach has been initially applied to cancer research and later used in understanding host-pathogen interactions and pluripotency regulatory networks in stem cells. Here, different multi-omics layers along with databases and tools specific for multiple data integration, visualization, and integrated network modeling are described. In summary, this chapter focuses on integrative analysis of different multi-omics layers and modeling of interactomes to identify robust biomarkers and biological processes associated with diseases. © Springer Nature Singapore Pte Ltd. 2018. All rights reserved.","CPTAC; Integrative analysis; Multi-omics; Protein-protein interactions; TCGA","","","Springer Singapore","","Book chapter","All Open Access; Gold Open Access","Scopus","2-s2.0-85079539544"
"","","","9th International Conference on Computational Advances in Bio and Medical Sciences, ICCABS 2019","2020","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090007894&partnerID=40&md5=a54138814895f98a3f3a42367122dc8a","The proceedings contain 15 papers. The special focus in this conference is on Computational Advances in Bio and Medical Sciences. The topics include: Deep Learning of CTCF-Mediated Chromatin Loops in 3D Genome Organization; effects of Various Alpha-1 Antitrypsin Supplement Dosages on the Lung Microbiome and Metabolome; A Multi-hypothesis Learning Algorithm for Human and Mouse miRNA Target Prediction; preface; Detecting De Novo Plasmodesmata Targeting Signals and Identifying PD Targeting Proteins; riboSimR: A Tool for Simulation and Power Analysis of Ribo-seq Data; treatment Practice Analysis of Intermediate or High Risk Localized Prostate Cancer: A Multi-center Study with Veterans Health Administration Data; forecasting Model for the Annual Growth of Cryogenic Electron Microscopy Data; Local and Global Stratification Analysis in Whole Genome Sequencing (WGS) Studies Using LocStra; a New Graph Database System for Multi-omics Data Integration and Mining Complex Biological Information; SMART2: Multi-library Statistical Mitogenome Assembly with Repeats; the Agility of a Neuron: Phase Shift Between Sinusoidal Current Input and Firing Rate Curve; efficient Sequential and Parallel Algorithms for Incremental Record Linkage.","","","Mandoiu I.; Rajasekaran S.; Murali T.M.; Narasimhan G.; Skums P.; Zelikovsky A.","Springer","","Conference review","","Scopus","2-s2.0-85090007894"
